Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",72096,"(+/- 3068 )",51357,"(+/- 1387 )",20380,"(+/- 638 )",127197,"(+/- 3268 )",42129,"(+/- 3134 )",33423,"(+/- 1043 )",17298,"(+/- 735 )",39953,"(+/- 567 )"
People,"Hispanic or Latino and Race",Mexican,55119,"(+/- 3531 )",31506,"(+/- 2719 )",14881,"(+/- 1244 )",83700,"(+/- 4998 )",28284,"(+/- 3708 )",25873,"(+/- 1911 )",11245,"(+/- 1296 )",31242,"(+/- 2166 )"
People,"Hispanic or Latino and Race","Puerto Rican",10269,"(+/- 2589 )",4724,"(+/- 2043 )",1749,"(+/- 779 )",33537,"(+/- 4231 )",6329,"(+/- 1534 )",2547,"(+/- 1234 )",1731,"(+/- 595 )",3046,"(+/- 1260 )"
People,"Hispanic or Latino and Race",Cuban,819,"(+/- 591 )",2252,"(+/- 1270 )",361,"(+/- 252 )",2215,"(+/- 1159 )",1781,"(+/- 1089 )",342,"(+/- 256 )",388,"(+/- 254 )",186,"(+/- 210 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5889,"(+/- 1889 )",12875,"(+/- 2554 )",3389,"(+/- 854 )",7745,"(+/- 2248 )",5735,"(+/- 1197 )",4661,"(+/- 1510 )",3934,"(+/- 833 )",5479,"(+/- 2120 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",645620,"(+/- 5918 )",716710,"(+/- 2721 )",704188,"(+/- 3289 )",583376,"(+/- 4060 )",689212,"(+/- 4839 )",681463,"(+/- 3066 )",693122,"(+/- 3427 )",696044,"(+/- 1676 )"
People,"Place of Birth","Total population",717716,"(+/- 5377 )",768067,"(+/- 2588 )",724568,"(+/- 3440 )",710573,"(+/- 2109 )",731341,"(+/- 4364 )",714886,"(+/- 3008 )",710420,"(+/- 3463 )",735997,"(+/- 1553 )"
People,"Place of Birth",Native,678473,"(+/- 6824 )",712478,"(+/- 3986 )",705087,"(+/- 4008 )",639358,"(+/- 4414 )",690610,"(+/- 5648 )",690802,"(+/- 3655 )",692143,"(+/- 3933 )",706689,"(+/- 2817 )"
People,"Place of Birth","Born in United States",667010,"(+/- 7069 )",704817,"(+/- 3886 )",701061,"(+/- 4069 )",619025,"(+/- 5642 )",684732,"(+/- 5800 )",686555,"(+/- 3665 )",689209,"(+/- 4063 )",703139,"(+/- 3226 )"
People,"Place of Birth","State of residence",475300,"(+/- 8723 )",492681,"(+/- 7198 )",515563,"(+/- 6416 )",462729,"(+/- 7150 )",557311,"(+/- 6762 )",556174,"(+/- 5981 )",473623,"(+/- 6526 )",580446,"(+/- 6395 )"
People,"Place of Birth","Different state",191710,"(+/- 7412 )",212136,"(+/- 6997 )",185498,"(+/- 5882 )",156296,"(+/- 6145 )",127421,"(+/- 4816 )",130381,"(+/- 5390 )",215586,"(+/- 5765 )",122693,"(+/- 5635 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",11463,"(+/- 2765 )",7661,"(+/- 1868 )",4026,"(+/- 967 )",20333,"(+/- 3331 )",5878,"(+/- 1510 )",4247,"(+/- 1068 )",2934,"(+/- 686 )",3550,"(+/- 949 )"
People,"Place of Birth","Foreign born",39243,"(+/- 4024 )",55589,"(+/- 3512 )",19481,"(+/- 2011 )",71215,"(+/- 4134 )",40731,"(+/- 3753 )",24084,"(+/- 2238 )",18277,"(+/- 1840 )",29308,"(+/- 2586 )"
People,Ancestry,"Total population",717716,"(+/- 5377 )",768067,"(+/- 2588 )",724568,"(+/- 3440 )",710573,"(+/- 2109 )",731341,"(+/- 4364 )",714886,"(+/- 3008 )",710420,"(+/- 3463 )",735997,"(+/- 1553 )"
People,Ancestry,American,17651,"(+/- 3183 )",21565,"(+/- 2315 )",20081,"(+/- 2533 )",12008,"(+/- 2673 )",19382,"(+/- 2424 )",30058,"(+/- 2924 )",24156,"(+/- 3187 )",34774,"(+/- 5052 )"
People,Ancestry,Arab,4052,"(+/- 1883 )",4099,"(+/- 1957 )",1821,"(+/- 960 )",6392,"(+/- 2485 )",1490,"(+/- 650 )",729,"(+/- 573 )",514,"(+/- 317 )",610,"(+/- 388 )"
People,Ancestry,Czech,8420,"(+/- 1351 )",9318,"(+/- 1386 )",15449,"(+/- 2004 )",4627,"(+/- 1223 )",7645,"(+/- 1469 )",11878,"(+/- 1775 )",13309,"(+/- 1635 )",15247,"(+/- 2204 )"
People,Ancestry,Danish,14345,"(+/- 2360 )",7358,"(+/- 1082 )",4685,"(+/- 778 )",2295,"(+/- 747 )",6108,"(+/- 1211 )",6483,"(+/- 1132 )",9273,"(+/- 1165 )",6913,"(+/- 1212 )"
People,Ancestry,Dutch,11671,"(+/- 1960 )",11635,"(+/- 1747 )",12229,"(+/- 1596 )",5514,"(+/- 1354 )",11756,"(+/- 2446 )",28474,"(+/- 2808 )",11977,"(+/- 1259 )",41734,"(+/- 3542 )"
People,Ancestry,English,38327,"(+/- 3501 )",64261,"(+/- 4346 )",40102,"(+/- 3615 )",19174,"(+/- 2249 )",41533,"(+/- 3241 )",36557,"(+/- 3677 )",38826,"(+/- 2312 )",29201,"(+/- 2698 )"
People,Ancestry,"French (except Basque)",18928,"(+/- 2238 )",21676,"(+/- 2534 )",17952,"(+/- 2327 )",11362,"(+/- 1878 )",23046,"(+/- 2265 )",24931,"(+/- 3208 )",24577,"(+/- 2295 )",24998,"(+/- 2636 )"
People,Ancestry,"French Canadian",3792,"(+/- 1186 )",3887,"(+/- 1505 )",6691,"(+/- 1397 )",4083,"(+/- 1923 )",4611,"(+/- 1048 )",5805,"(+/- 1061 )",10134,"(+/- 1504 )",14137,"(+/- 1477 )"
People,Ancestry,German,244242,"(+/- 9429 )",266201,"(+/- 8185 )",288506,"(+/- 6810 )",125795,"(+/- 5579 )",323974,"(+/- 8412 )",327684,"(+/- 7770 )",287542,"(+/- 5598 )",294578,"(+/- 9202 )"
People,Ancestry,Greek,3542,"(+/- 1277 )",2619,"(+/- 928 )",1288,"(+/- 589 )",1120,"(+/- 408 )",3065,"(+/- 1186 )",1919,"(+/- 746 )",1396,"(+/- 594 )",2006,"(+/- 765 )"
People,Ancestry,Hungarian,4110,"(+/- 1001 )",3614,"(+/- 1231 )",1852,"(+/- 472 )",2165,"(+/- 725 )",4468,"(+/- 888 )",2902,"(+/- 888 )",2424,"(+/- 683 )",1773,"(+/- 855 )"
People,Ancestry,Irish,81270,"(+/- 6031 )",103200,"(+/- 5105 )",78640,"(+/- 4364 )",47685,"(+/- 3470 )",89711,"(+/- 6099 )",72296,"(+/- 4964 )",69999,"(+/- 4397 )",69291,"(+/- 5415 )"
People,Ancestry,Italian,42088,"(+/- 4595 )",30398,"(+/- 3575 )",17848,"(+/- 2587 )",21625,"(+/- 2990 )",35605,"(+/- 3806 )",22178,"(+/- 2559 )",18820,"(+/- 1915 )",15381,"(+/- 2195 )"
People,Ancestry,Lithuanian,3218,"(+/- 1066 )",1250,"(+/- 463 )",926,"(+/- 361 )",739,"(+/- 333 )",1829,"(+/- 824 )",1717,"(+/- 736 )",1462,"(+/- 536 )",844,"(+/- 340 )"
People,Ancestry,Norwegian,39640,"(+/- 4434 )",81343,"(+/- 5825 )",114101,"(+/- 5063 )",13342,"(+/- 1665 )",38965,"(+/- 3858 )",37298,"(+/- 3641 )",74198,"(+/- 3544 )",32207,"(+/- 3096 )"
People,Ancestry,Polish,75915,"(+/- 5079 )",40008,"(+/- 3567 )",59623,"(+/- 4175 )",51320,"(+/- 4177 )",83570,"(+/- 5348 )",53625,"(+/- 4618 )",66845,"(+/- 3931 )",58872,"(+/- 4108 )"
People,Ancestry,Portuguese,327,"(+/- 269 )",1300,"(+/- 633 )",383,"(+/- 307 )",306,"(+/- 208 )",522,"(+/- 454 )",503,"(+/- 381 )",409,"(+/- 316 )",1125,"(+/- 1097 )"
People,Ancestry,Russian,4147,"(+/- 1306 )",4265,"(+/- 918 )",2590,"(+/- 622 )",6260,"(+/- 1936 )",3994,"(+/- 1095 )",3982,"(+/- 861 )",4230,"(+/- 799 )",2889,"(+/- 711 )"
People,Ancestry,Scotch-Irish,2859,"(+/- 753 )",4527,"(+/- 1075 )",3562,"(+/- 755 )",1415,"(+/- 450 )",3438,"(+/- 900 )",1760,"(+/- 490 )",3450,"(+/- 654 )",1521,"(+/- 586 )"
People,Ancestry,Scottish,9703,"(+/- 1842 )",10248,"(+/- 1615 )",8559,"(+/- 1362 )",3497,"(+/- 785 )",8322,"(+/- 1670 )",7232,"(+/- 1215 )",6037,"(+/- 1228 )",5614,"(+/- 983 )"
People,Ancestry,Slovak,2356,"(+/- 799 )",1399,"(+/- 856 )",559,"(+/- 242 )",1132,"(+/- 481 )",3108,"(+/- 1266 )",915,"(+/- 363 )",1859,"(+/- 453 )",891,"(+/- 491 )"
People,Ancestry,"Subsaharan African",4663,"(+/- 2889 )",8507,"(+/- 3070 )",1817,"(+/- 662 )",8094,"(+/- 3028 )",1637,"(+/- 993 )",2037,"(+/- 1120 )",1806,"(+/- 670 )",735,"(+/- 428 )"
People,Ancestry,Swedish,17391,"(+/- 2319 )",18830,"(+/- 2754 )",18925,"(+/- 2390 )",6911,"(+/- 1669 )",13736,"(+/- 2052 )",10413,"(+/- 2005 )",36869,"(+/- 2436 )",14246,"(+/- 1862 )"
People,Ancestry,Swiss,3824,"(+/- 988 )",20983,"(+/- 2427 )",6738,"(+/- 1131 )",1506,"(+/- 560 )",5818,"(+/- 1453 )",5373,"(+/- 1273 )",5980,"(+/- 1039 )",3550,"(+/- 1014 )"
People,Ancestry,Ukrainian,1009,"(+/- 465 )",1999,"(+/- 905 )",422,"(+/- 182 )",1773,"(+/- 607 )",1915,"(+/- 649 )",552,"(+/- 312 )",1898,"(+/- 590 )",649,"(+/- 398 )"
People,Ancestry,Welsh,4021,"(+/- 1042 )",5639,"(+/- 1248 )",2726,"(+/- 789 )",2965,"(+/- 906 )",4039,"(+/- 1201 )",3629,"(+/- 967 )",2911,"(+/- 712 )",2661,"(+/- 837 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1420,"(+/- 859 )",351,"(+/- 355 )",472,"(+/- 367 )",1264,"(+/- 649 )",481,"(+/- 251 )",836,"(+/- 551 )",523,"(+/- 458 )",391,"(+/- 490 )"
People,"Veteran Status","Civilian population 18 years and over",555262,"(+/- 4464 )",606543,"(+/- 2344 )",573917,"(+/- 2260 )",531789,"(+/- 3674 )",575526,"(+/- 4850 )",565602,"(+/- 2204 )",558404,"(+/- 2489 )",570019,"(+/- 1304 )"
People,"Veteran Status","Civilian veterans",39535,"(+/- 2610 )",38037,"(+/- 2427 )",48285,"(+/- 1999 )",24563,"(+/- 2092 )",38292,"(+/- 2584 )",45518,"(+/- 2441 )",47312,"(+/- 1995 )",44746,"(+/- 2293 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",706762,"(+/- 5925 )",761729,"(+/- 2847 )",713230,"(+/- 3977 )",705026,"(+/- 2610 )",725126,"(+/- 4481 )",699225,"(+/- 3716 )",700986,"(+/- 3609 )",728585,"(+/- 2499 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",83901,"(+/- 3916 )",69956,"(+/- 4048 )",90570,"(+/- 4012 )",88208,"(+/- 4110 )",77234,"(+/- 3646 )",83238,"(+/- 3612 )",90128,"(+/- 2721 )",83969,"(+/- 3401 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",161461,"(+/- 3423 )",160065,"(+/- 1825 )",149834,"(+/- 2306 )",178221,"(+/- 3072 )",154467,"(+/- 3388 )",149003,"(+/- 1693 )",151399,"(+/- 1984 )",165687,"(+/- 936 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7324,"(+/- 1412 )",6281,"(+/- 1478 )",5233,"(+/- 946 )",8622,"(+/- 1413 )",4034,"(+/- 774 )",6934,"(+/- 1570 )",5928,"(+/- 979 )",6841,"(+/- 1334 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",429809,"(+/- 5379 )",488015,"(+/- 2251 )",437249,"(+/- 2639 )",441741,"(+/- 3570 )",441384,"(+/- 4946 )",421370,"(+/- 2678 )",409286,"(+/- 2354 )",440243,"(+/- 2067 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43193,"(+/- 3140 )",32453,"(+/- 2756 )",43801,"(+/- 2647 )",47880,"(+/- 3164 )",34193,"(+/- 2851 )",38251,"(+/- 2097 )",40451,"(+/- 2047 )",41950,"(+/- 2572 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",115492,"(+/- 3158 )",113649,"(+/- 1721 )",126147,"(+/- 1624 )",85064,"(+/- 2038 )",129275,"(+/- 2970 )",128852,"(+/- 1227 )",140301,"(+/- 1828 )",122655,"(+/- 1214 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33384,"(+/- 2526 )",31222,"(+/- 2255 )",41536,"(+/- 2175 )",31706,"(+/- 2511 )",39007,"(+/- 2248 )",38053,"(+/- 2340 )",43749,"(+/- 2007 )",35178,"(+/- 2032 )"
People,"Residence 1 Year Ago","Population 1 year and over",710256,"(+/- 5266 )",759879,"(+/- 2712 )",717350,"(+/- 3692 )",701948,"(+/- 2482 )",723899,"(+/- 4584 )",706893,"(+/- 3096 )",703123,"(+/- 3669 )",728177,"(+/- 1976 )"
People,"Residence 1 Year Ago","Same house",614894,"(+/- 8696 )",635594,"(+/- 8484 )",610707,"(+/- 6677 )",589408,"(+/- 8478 )",627699,"(+/- 8477 )",610613,"(+/- 8007 )",623842,"(+/- 5944 )",647503,"(+/- 6846 )"
People,"Residence 1 Year Ago","Different house in the U.S.",94105,"(+/- 6736 )",120798,"(+/- 8263 )",104414,"(+/- 7230 )",107611,"(+/- 7802 )",94960,"(+/- 6150 )",94766,"(+/- 7342 )",78103,"(+/- 5031 )",79015,"(+/- 6447 )"
People,"Residence 1 Year Ago","Same county",55493,"(+/- 5827 )",74379,"(+/- 7088 )",51295,"(+/- 5439 )",81784,"(+/- 7033 )",54025,"(+/- 4529 )",51476,"(+/- 5789 )",41443,"(+/- 4225 )",43469,"(+/- 4795 )"
People,"Residence 1 Year Ago","Different county",38612,"(+/- 3877 )",46419,"(+/- 4146 )",53119,"(+/- 4244 )",25827,"(+/- 3200 )",40935,"(+/- 4901 )",43290,"(+/- 4478 )",36660,"(+/- 2773 )",35546,"(+/- 4234 )"
People,"Residence 1 Year Ago","Same state",21712,"(+/- 3182 )",22427,"(+/- 2996 )",35368,"(+/- 3020 )",12964,"(+/- 2802 )",32512,"(+/- 4618 )",31760,"(+/- 3272 )",23353,"(+/- 2207 )",25699,"(+/- 3511 )"
People,"Residence 1 Year Ago","Different state",16900,"(+/- 2458 )",23992,"(+/- 3181 )",17751,"(+/- 2751 )",12863,"(+/- 1729 )",8423,"(+/- 1671 )",11530,"(+/- 3130 )",13307,"(+/- 1850 )",9847,"(+/- 2427 )"
People,"Residence 1 Year Ago",Abroad,1257,"(+/- 648 )",3487,"(+/- 1100 )",2229,"(+/- 991 )",4929,"(+/- 1555 )",1240,"(+/- 709 )",1514,"(+/- 918 )",1178,"(+/- 423 )",1659,"(+/- 775 )"
Workers,"Employment Status","Population 16 years and over",578428,"(+/- 5032 )",626790,"(+/- 2655 )",592237,"(+/- 2602 )",549916,"(+/- 3526 )",595232,"(+/- 4887 )",582835,"(+/- 2712 )",577947,"(+/- 2642 )",590113,"(+/- 1706 )"
Workers,"Employment Status","In labor force",386886,"(+/- 7205 )",442045,"(+/- 4899 )",378278,"(+/- 4520 )",353221,"(+/- 5755 )",399942,"(+/- 5055 )",379627,"(+/- 3994 )",366636,"(+/- 4353 )",389880,"(+/- 4437 )"
Workers,"Employment Status","Civilian labor force",386132,"(+/- 7240 )",440645,"(+/- 4744 )",377636,"(+/- 4638 )",352912,"(+/- 5773 )",399033,"(+/- 5181 )",379446,"(+/- 4021 )",366359,"(+/- 4393 )",389781,"(+/- 4449 )"
Workers,"Employment Status",Employed,370148,"(+/- 6994 )",430643,"(+/- 4876 )",365248,"(+/- 4757 )",335798,"(+/- 5969 )",388665,"(+/- 5354 )",367724,"(+/- 4542 )",355290,"(+/- 4654 )",380200,"(+/- 4664 )"
Workers,"Employment Status",Unemployed,15984,"(+/- 2106 )",10002,"(+/- 1733 )",12388,"(+/- 1550 )",17114,"(+/- 2128 )",10368,"(+/- 1637 )",11722,"(+/- 1668 )",11069,"(+/- 1237 )",9581,"(+/- 1331 )"
Workers,"Employment Status","Armed Forces",754,"(+/- 371 )",1400,"(+/- 758 )",642,"(+/- 344 )",309,"(+/- 215 )",909,"(+/- 881 )",181,"(+/- 176 )",277,"(+/- 218 )",99,"(+/- 115 )"
Workers,"Employment Status","Not in labor force",191542,"(+/- 5568 )",184745,"(+/- 5119 )",213959,"(+/- 4527 )",196695,"(+/- 5090 )",195290,"(+/- 4564 )",203208,"(+/- 4035 )",211311,"(+/- 3734 )",200233,"(+/- 4178 )"
Workers,"Employment Status","Civilian labor force",386132,"(+/- 7240 )",440645,"(+/- 4744 )",377636,"(+/- 4638 )",352912,"(+/- 5773 )",399033,"(+/- 5181 )",379446,"(+/- 4021 )",366359,"(+/- 4393 )",389781,"(+/- 4449 )"
Workers,"Employment Status","Unemployment Rate",4.1,"(+/- 0.5 )",2.3,"(+/- 0.4 )",3.3,"(+/- 0.4 )",4.8,"(+/- 0.6 )",2.6,"(+/- 0.4 )",3.1,"(+/- 0.4 )",3.0,"(+/- 0.3 )",2.5,"(+/- 0.3 )"
Workers,"Commuting to Work","Workers 16 years and over",366471,"(+/- 6776 )",426261,"(+/- 5006 )",358722,"(+/- 4906 )",331541,"(+/- 5907 )",385451,"(+/- 5223 )",363010,"(+/- 4643 )",350165,"(+/- 4720 )",375316,"(+/- 4792 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",311873,"(+/- 6533 )",324056,"(+/- 5564 )",291591,"(+/- 4891 )",250768,"(+/- 5950 )",326988,"(+/- 5589 )",307872,"(+/- 5415 )",284109,"(+/- 4807 )",318353,"(+/- 4418 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",26419,"(+/- 3157 )",30524,"(+/- 2407 )",26461,"(+/- 2371 )",31058,"(+/- 2874 )",24973,"(+/- 2617 )",25898,"(+/- 2480 )",29077,"(+/- 2355 )",27809,"(+/- 2895 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",3477,"(+/- 747 )",14820,"(+/- 2066 )",1843,"(+/- 730 )",17755,"(+/- 1835 )",2312,"(+/- 585 )",1236,"(+/- 513 )",1409,"(+/- 503 )",1480,"(+/- 431 )"
Workers,"Commuting to Work",Walked,4779,"(+/- 1157 )",23217,"(+/- 2966 )",11875,"(+/- 1230 )",13836,"(+/- 1825 )",7057,"(+/- 1227 )",7900,"(+/- 1307 )",10195,"(+/- 1203 )",7632,"(+/- 1219 )"
Workers,"Commuting to Work","Other means",4446,"(+/- 997 )",14087,"(+/- 1972 )",5480,"(+/- 927 )",4211,"(+/- 905 )",3913,"(+/- 1059 )",5335,"(+/- 1042 )",4982,"(+/- 1028 )",2950,"(+/- 796 )"
Workers,"Commuting to Work","Worked at home",15477,"(+/- 1657 )",19557,"(+/- 2122 )",21472,"(+/- 1915 )",13913,"(+/- 1814 )",20208,"(+/- 1967 )",14769,"(+/- 1403 )",20393,"(+/- 1617 )",17092,"(+/- 1711 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.3,"(+/- 0.7 )",21.6,"(+/- 0.5 )",21.3,"(+/- 0.4 )",22.0,"(+/- 0.4 )",23.1,"(+/- 0.5 )",21.0,"(+/- 0.5 )",22.2,"(+/- 0.4 )",19.7,"(+/- 0.4 )"
