Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","55 to 59 years",51510,"(+/- 2801 )",45788,"(+/- 2486 )",46240,"(+/- 2751 )",45752,"(+/- 2993 )",55636,"(+/- 2735 )",45068,"(+/- 2694 )",42706,"(+/- 3258 )"
People,"Sex and Age","60 to 64 years",46973,"(+/- 3062 )",42971,"(+/- 2280 )",46380,"(+/- 2923 )",47800,"(+/- 3264 )",44341,"(+/- 2629 )",46306,"(+/- 2652 )",44701,"(+/- 3111 )"
People,"Sex and Age","65 to 74 years",75805,"(+/- 1471 )",67493,"(+/- 1756 )",74314,"(+/- 1847 )",74931,"(+/- 1957 )",69559,"(+/- 1423 )",71194,"(+/- 2282 )",60100,"(+/- 2473 )"
People,"Sex and Age","75 to 84 years",38651,"(+/- 2142 )",35146,"(+/- 1637 )",35024,"(+/- 1926 )",39880,"(+/- 1895 )",37499,"(+/- 1786 )",35322,"(+/- 1801 )",29503,"(+/- 1984 )"
People,"Sex and Age","85 years and over",12627,"(+/- 2043 )",12723,"(+/- 1337 )",10181,"(+/- 1658 )",13332,"(+/- 1724 )",12667,"(+/- 1434 )",12536,"(+/- 1761 )",11176,"(+/- 1798 )"
People,"Sex and Age","Median age (years)",40.3,"(+/- 0.4 )",38.8,"(+/- 0.5 )",39.2,"(+/- 0.6 )",40.5,"(+/- 0.5 )",39.5,"(+/- 0.5 )",40.0,"(+/- 0.6 )",36.4,"(+/- 1.0 )"
People,"Sex and Age","18 years and over",552917,"(+/- 2718 )",524810,"(+/- 5314 )",554393,"(+/- 3756 )",530790,"(+/- 4559 )",567616,"(+/- 784 )",552559,"(+/- 7137 )",515681,"(+/- 9139 )"
People,"Sex and Age","65 years and over",127083,"(+/- 1815 )",115362,"(+/- 2056 )",119519,"(+/- 1902 )",128143,"(+/- 2239 )",119725,"(+/- 1389 )",119052,"(+/- 2741 )",100779,"(+/- 3212 )"
People,Race,"Total population",715346,"(+/- 3366 )",678122,"(+/- 7200 )",708409,"(+/- 5269 )",686297,"(+/- 5436 )",725634,"(+/- 447 )",713595,"(+/- 8310 )",660468,"(+/- 11651 )"
People,Race,"One race",702333,"(+/- 3908 )",663115,"(+/- 7893 )",695576,"(+/- 5186 )",670732,"(+/- 5916 )",706273,"(+/- 2711 )",697348,"(+/- 9067 )",651483,"(+/- 12215 )"
People,Race,White,479949,"(+/- 3347 )",426674,"(+/- 3904 )",490987,"(+/- 4276 )",591084,"(+/- 6887 )",539903,"(+/- 2958 )",556700,"(+/- 6962 )",221541,"(+/- 7865 )"
People,Race,"Black or African American",196891,"(+/- 3000 )",217977,"(+/- 7544 )",183949,"(+/- 4586 )",51171,"(+/- 2695 )",130913,"(+/- 2262 )",109254,"(+/- 6656 )",416885,"(+/- 9393 )"
People,Race,"American Indian and Alaska Native",6992,"(+/- 1403 )",2838,"(+/- 733 )",1300,"(+/- 558 )",4391,"(+/- 1680 )",3123,"(+/- 1145 )",1512,"(+/- 663 )",1907,"(+/- 826 )"
People,Race,Asian,10627,"(+/- 998 )",7442,"(+/- 1740 )",13049,"(+/- 1516 )",3072,"(+/- 894 )",12215,"(+/- 1271 )",13683,"(+/- 2499 )",5007,"(+/- 1311 )"
People,Race,"Native Hawaiian and Other Pacific Islander",183,"(+/- 190 )",26,"(+/- 33 )",0,"(+/- 201 )",677,"(+/- 618 )",160,"(+/- 147 )",545,"(+/- 529 )",206,"(+/- 315 )"
People,Race,"Some other race",7691,"(+/- 2864 )",8158,"(+/- 2177 )",6291,"(+/- 2173 )",20337,"(+/- 2888 )",19959,"(+/- 3026 )",15654,"(+/- 4180 )",5937,"(+/- 2131 )"
People,Race,"Two or more races",13013,"(+/- 2818 )",15007,"(+/- 2845 )",12833,"(+/- 2804 )",15565,"(+/- 3043 )",19361,"(+/- 2774 )",16247,"(+/- 3842 )",8985,"(+/- 2629 )"
People,"Hispanic or Latino and Race","Total population",715346,"(+/- 3366 )",678122,"(+/- 7200 )",708409,"(+/- 5269 )",686297,"(+/- 5436 )",725634,"(+/- 447 )",713595,"(+/- 8310 )",660468,"(+/- 11651 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",24141,"(+/- 471 )",24953,"(+/- 1434 )",22102,"(+/- 2157 )",44731,"(+/- 2060 )",38726,"(+/- 4 )",33522,"(+/- 3027 )",23310,"(+/- 3228 )"
People,"Hispanic or Latino and Race",Mexican,11214,"(+/- 2781 )",13679,"(+/- 2167 )",10892,"(+/- 2694 )",26115,"(+/- 4123 )",28013,"(+/- 2363 )",21754,"(+/- 3478 )",16171,"(+/- 3542 )"
People,"Hispanic or Latino and Race","Puerto Rican",4962,"(+/- 2591 )",5686,"(+/- 1552 )",6372,"(+/- 2258 )",1874,"(+/- 979 )",4126,"(+/- 1242 )",2063,"(+/- 1686 )",1739,"(+/- 1007 )"
People,"Hispanic or Latino and Race",Cuban,397,"(+/- 249 )",1095,"(+/- 1118 )",658,"(+/- 447 )",717,"(+/- 606 )",503,"(+/- 404 )",980,"(+/- 692 )",593,"(+/- 439 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",7568,"(+/- 2135 )",4493,"(+/- 1401 )",4180,"(+/- 1188 )",16025,"(+/- 3466 )",6084,"(+/- 1990 )",8725,"(+/- 2651 )",4807,"(+/- 1915 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",691205,"(+/- 3411 )",653169,"(+/- 7502 )",686307,"(+/- 5455 )",641566,"(+/- 5724 )",686908,"(+/- 447 )",680073,"(+/- 8445 )",637158,"(+/- 11490 )"
People,"Place of Birth","Total population",715346,"(+/- 3366 )",678122,"(+/- 7200 )",708409,"(+/- 5269 )",686297,"(+/- 5436 )",725634,"(+/- 447 )",713595,"(+/- 8310 )",660468,"(+/- 11651 )"
People,"Place of Birth",Native,693956,"(+/- 4464 )",659525,"(+/- 7277 )",688990,"(+/- 5528 )",662635,"(+/- 5782 )",695444,"(+/- 2795 )",681800,"(+/- 8720 )",642954,"(+/- 11690 )"
People,"Place of Birth","Born in United States",689039,"(+/- 4565 )",651408,"(+/- 7390 )",680867,"(+/- 5842 )",658759,"(+/- 5794 )",685291,"(+/- 3383 )",674515,"(+/- 8863 )",639523,"(+/- 11722 )"
People,"Place of Birth","State of residence",484623,"(+/- 10278 )",469032,"(+/- 8184 )",467245,"(+/- 10567 )",511443,"(+/- 7933 )",435153,"(+/- 8278 )",498177,"(+/- 11012 )",523579,"(+/- 12036 )"
People,"Place of Birth","Different state",204416,"(+/- 9161 )",182376,"(+/- 6775 )",213622,"(+/- 9727 )",147316,"(+/- 7193 )",250138,"(+/- 7937 )",176338,"(+/- 8428 )",115944,"(+/- 6760 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4917,"(+/- 1207 )",8117,"(+/- 1396 )",8123,"(+/- 1736 )",3876,"(+/- 1362 )",10153,"(+/- 2148 )",7285,"(+/- 2444 )",3431,"(+/- 1041 )"
People,"Place of Birth","Foreign born",21390,"(+/- 2811 )",18597,"(+/- 2649 )",19419,"(+/- 2615 )",23662,"(+/- 2412 )",30190,"(+/- 2754 )",31795,"(+/- 3543 )",17514,"(+/- 2559 )"
People,Ancestry,"Total population",715346,"(+/- 3366 )",678122,"(+/- 7200 )",708409,"(+/- 5269 )",686297,"(+/- 5436 )",725634,"(+/- 447 )",713595,"(+/- 8310 )",660468,"(+/- 11651 )"
People,Ancestry,American,98884,"(+/- 9168 )",145289,"(+/- 8677 )",121187,"(+/- 9983 )",176612,"(+/- 9118 )",102613,"(+/- 8071 )",109924,"(+/- 9383 )",99653,"(+/- 10132 )"
People,Ancestry,Arab,3062,"(+/- 3315 )",1279,"(+/- 915 )",785,"(+/- 819 )",713,"(+/- 738 )",1796,"(+/- 996 )",2747,"(+/- 1237 )",1927,"(+/- 1366 )"
People,Ancestry,Czech,1088,"(+/- 553 )",550,"(+/- 505 )",264,"(+/- 244 )",120,"(+/- 132 )",1199,"(+/- 1071 )",535,"(+/- 496 )",127,"(+/- 122 )"
People,Ancestry,Danish,391,"(+/- 297 )",380,"(+/- 228 )",994,"(+/- 802 )",300,"(+/- 294 )",435,"(+/- 493 )",956,"(+/- 551 )",265,"(+/- 177 )"
People,Ancestry,Dutch,2730,"(+/- 939 )",3739,"(+/- 1184 )",7545,"(+/- 3059 )",5084,"(+/- 1560 )",5330,"(+/- 1300 )",4302,"(+/- 1461 )",2522,"(+/- 959 )"
People,Ancestry,English,48432,"(+/- 4956 )",41455,"(+/- 3232 )",50516,"(+/- 5383 )",40634,"(+/- 4467 )",60402,"(+/- 5618 )",64697,"(+/- 5448 )",21015,"(+/- 2964 )"
People,Ancestry,"French (except Basque)",15366,"(+/- 2922 )",6629,"(+/- 1274 )",8020,"(+/- 1891 )",6103,"(+/- 1820 )",10609,"(+/- 2111 )",15931,"(+/- 2319 )",4247,"(+/- 1000 )"
People,Ancestry,"French Canadian",1839,"(+/- 1289 )",1845,"(+/- 1192 )",1045,"(+/- 951 )",215,"(+/- 144 )",1733,"(+/- 678 )",1549,"(+/- 653 )",423,"(+/- 378 )"
People,Ancestry,German,52888,"(+/- 4659 )",32308,"(+/- 3317 )",39120,"(+/- 4036 )",38741,"(+/- 5183 )",52731,"(+/- 5526 )",48461,"(+/- 5955 )",18115,"(+/- 2476 )"
People,Ancestry,Greek,2508,"(+/- 1088 )",779,"(+/- 427 )",872,"(+/- 445 )",583,"(+/- 372 )",512,"(+/- 374 )",2318,"(+/- 992 )",605,"(+/- 381 )"
People,Ancestry,Hungarian,3079,"(+/- 3456 )",332,"(+/- 248 )",765,"(+/- 503 )",850,"(+/- 763 )",1375,"(+/- 979 )",1322,"(+/- 576 )",374,"(+/- 286 )"
People,Ancestry,Irish,60532,"(+/- 7555 )",40937,"(+/- 3922 )",55144,"(+/- 6498 )",57343,"(+/- 5581 )",68956,"(+/- 5383 )",69032,"(+/- 6771 )",24149,"(+/- 4388 )"
People,Ancestry,Italian,14154,"(+/- 3445 )",8003,"(+/- 1549 )",9914,"(+/- 2166 )",6481,"(+/- 1767 )",13481,"(+/- 2875 )",14868,"(+/- 2487 )",5827,"(+/- 1802 )"
People,Ancestry,Lithuanian,294,"(+/- 258 )",106,"(+/- 96 )",104,"(+/- 126 )",199,"(+/- 249 )",347,"(+/- 523 )",272,"(+/- 222 )",313,"(+/- 293 )"
People,Ancestry,Norwegian,4185,"(+/- 1458 )",1978,"(+/- 772 )",3219,"(+/- 1639 )",2066,"(+/- 1115 )",4202,"(+/- 2795 )",4036,"(+/- 1422 )",850,"(+/- 551 )"
People,Ancestry,Polish,6234,"(+/- 2231 )",1956,"(+/- 509 )",2445,"(+/- 957 )",4775,"(+/- 1851 )",5492,"(+/- 1592 )",5429,"(+/- 1460 )",1532,"(+/- 603 )"
People,Ancestry,Portuguese,405,"(+/- 304 )",220,"(+/- 165 )",497,"(+/- 401 )",2160,"(+/- 2208 )",1000,"(+/- 695 )",1187,"(+/- 889 )",1408,"(+/- 949 )"
People,Ancestry,Russian,1209,"(+/- 651 )",368,"(+/- 226 )",793,"(+/- 401 )",1138,"(+/- 769 )",1627,"(+/- 931 )",1496,"(+/- 721 )",313,"(+/- 214 )"
People,Ancestry,Scotch-Irish,10680,"(+/- 2202 )",8722,"(+/- 1799 )",11818,"(+/- 2478 )",9288,"(+/- 2100 )",13990,"(+/- 3040 )",13278,"(+/- 2308 )",4141,"(+/- 1297 )"
People,Ancestry,Scottish,15949,"(+/- 3459 )",9454,"(+/- 1740 )",11984,"(+/- 3006 )",11088,"(+/- 2247 )",14805,"(+/- 2922 )",22037,"(+/- 3424 )",6130,"(+/- 2165 )"
People,Ancestry,Slovak,274,"(+/- 298 )",234,"(+/- 202 )",131,"(+/- 160 )",147,"(+/- 245 )",622,"(+/- 469 )",325,"(+/- 228 )",0,"(+/- 201 )"
People,Ancestry,"Subsaharan African",4632,"(+/- 2123 )",4752,"(+/- 1315 )",5996,"(+/- 2356 )",1893,"(+/- 1080 )",7210,"(+/- 3316 )",8008,"(+/- 3031 )",18770,"(+/- 5941 )"
People,Ancestry,Swedish,1678,"(+/- 756 )",757,"(+/- 325 )",1139,"(+/- 669 )",989,"(+/- 524 )",2885,"(+/- 1070 )",2182,"(+/- 936 )",1218,"(+/- 603 )"
People,Ancestry,Swiss,661,"(+/- 359 )",372,"(+/- 223 )",704,"(+/- 498 )",271,"(+/- 314 )",453,"(+/- 367 )",1127,"(+/- 671 )",48,"(+/- 79 )"
People,Ancestry,Ukrainian,946,"(+/- 1314 )",353,"(+/- 213 )",635,"(+/- 531 )",285,"(+/- 200 )",212,"(+/- 172 )",780,"(+/- 511 )",370,"(+/- 323 )"
People,Ancestry,Welsh,1820,"(+/- 693 )",2410,"(+/- 1017 )",3184,"(+/- 1326 )",1750,"(+/- 640 )",3215,"(+/- 1008 )",4130,"(+/- 1461 )",1643,"(+/- 562 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",762,"(+/- 609 )",808,"(+/- 432 )",2026,"(+/- 1736 )",1469,"(+/- 712 )",5628,"(+/- 2666 )",758,"(+/- 727 )",497,"(+/- 305 )"
People,"Veteran Status","Civilian population 18 years and over",551673,"(+/- 2796 )",518693,"(+/- 5278 )",551785,"(+/- 3877 )",530404,"(+/- 4513 )",566383,"(+/- 1059 )",552040,"(+/- 7120 )",515308,"(+/- 9161 )"
People,"Veteran Status","Civilian veterans",51744,"(+/- 3514 )",51625,"(+/- 3092 )",51572,"(+/- 3767 )",39104,"(+/- 2901 )",55771,"(+/- 3786 )",41059,"(+/- 3023 )",33737,"(+/- 3081 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",704969,"(+/- 4422 )",657620,"(+/- 7830 )",696260,"(+/- 5529 )",679949,"(+/- 5492 )",714705,"(+/- 2058 )",704804,"(+/- 8458 )",651787,"(+/- 11937 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",99851,"(+/- 6265 )",119622,"(+/- 5090 )",127706,"(+/- 6313 )",125838,"(+/- 6130 )",104251,"(+/- 5746 )",92028,"(+/- 6050 )",116604,"(+/- 6605 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",162291,"(+/- 1788 )",153133,"(+/- 3458 )",153239,"(+/- 2625 )",155392,"(+/- 2916 )",157857,"(+/- 791 )",160931,"(+/- 4503 )",144515,"(+/- 5410 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6851,"(+/- 1769 )",7435,"(+/- 1505 )",8938,"(+/- 1856 )",7700,"(+/- 1433 )",5475,"(+/- 1390 )",7392,"(+/- 2044 )",7728,"(+/- 2065 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",418103,"(+/- 3549 )",392518,"(+/- 5268 )",425862,"(+/- 4619 )",399172,"(+/- 4618 )",438790,"(+/- 2285 )",427037,"(+/- 6569 )",409200,"(+/- 9027 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",51200,"(+/- 4746 )",65104,"(+/- 3972 )",69839,"(+/- 5565 )",64807,"(+/- 5231 )",55055,"(+/- 4291 )",44248,"(+/- 4377 )",67128,"(+/- 5196 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",124575,"(+/- 1865 )",111969,"(+/- 2224 )",117159,"(+/- 2000 )",125385,"(+/- 2283 )",118058,"(+/- 1495 )",116836,"(+/- 2806 )",98072,"(+/- 3207 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",41800,"(+/- 2613 )",47083,"(+/- 2279 )",48929,"(+/- 2765 )",53331,"(+/- 3243 )",43721,"(+/- 2236 )",40388,"(+/- 2907 )",41748,"(+/- 2890 )"
People,"Residence 1 Year Ago","Population 1 year and over",708505,"(+/- 3401 )",670215,"(+/- 7295 )",701342,"(+/- 5698 )",677722,"(+/- 5534 )",718774,"(+/- 1488 )",703965,"(+/- 8345 )",651835,"(+/- 11679 )"
People,"Residence 1 Year Ago","Same house",621462,"(+/- 7817 )",575062,"(+/- 9036 )",600041,"(+/- 9960 )",602537,"(+/- 8278 )",612393,"(+/- 7311 )",611886,"(+/- 9512 )",549645,"(+/- 14373 )"
People,"Residence 1 Year Ago","Different house in the U.S.",84112,"(+/- 7901 )",92147,"(+/- 5813 )",99491,"(+/- 8968 )",73924,"(+/- 6712 )",104368,"(+/- 7521 )",89718,"(+/- 7266 )",100455,"(+/- 8600 )"
People,"Residence 1 Year Ago","Same county",58692,"(+/- 6839 )",50300,"(+/- 5301 )",52512,"(+/- 7617 )",44524,"(+/- 5537 )",60293,"(+/- 6313 )",52221,"(+/- 6029 )",62759,"(+/- 7659 )"
People,"Residence 1 Year Ago","Different county",25420,"(+/- 4779 )",41847,"(+/- 4068 )",46979,"(+/- 6192 )",29400,"(+/- 3670 )",44075,"(+/- 5335 )",37497,"(+/- 4433 )",37696,"(+/- 4587 )"
People,"Residence 1 Year Ago","Same state",9740,"(+/- 2453 )",23704,"(+/- 3076 )",29119,"(+/- 5131 )",21741,"(+/- 3454 )",24816,"(+/- 3636 )",25621,"(+/- 3926 )",18872,"(+/- 3177 )"
People,"Residence 1 Year Ago","Different state",15680,"(+/- 4420 )",18143,"(+/- 2692 )",17860,"(+/- 3771 )",7659,"(+/- 1833 )",19259,"(+/- 3959 )",11876,"(+/- 2845 )",18824,"(+/- 3103 )"
People,"Residence 1 Year Ago",Abroad,2931,"(+/- 1347 )",3006,"(+/- 1093 )",1810,"(+/- 858 )",1261,"(+/- 776 )",2013,"(+/- 699 )",2361,"(+/- 1593 )",1735,"(+/- 717 )"
Workers,"Employment Status","Population 16 years and over",573349,"(+/- 3138 )",543194,"(+/- 5631 )",572136,"(+/- 4041 )",548468,"(+/- 4778 )",587031,"(+/- 1527 )",572215,"(+/- 7424 )",534186,"(+/- 9281 )"
Workers,"Employment Status","In labor force",319431,"(+/- 7371 )",301187,"(+/- 6096 )",318284,"(+/- 6590 )",301090,"(+/- 6869 )",352406,"(+/- 6760 )",347673,"(+/- 8384 )",291542,"(+/- 8918 )"
Workers,"Employment Status","Civilian labor force",318187,"(+/- 7315 )",295043,"(+/- 6157 )",315676,"(+/- 6579 )",300704,"(+/- 6825 )",351173,"(+/- 6770 )",347154,"(+/- 8364 )",291169,"(+/- 8917 )"
Workers,"Employment Status",Employed,302309,"(+/- 7145 )",277754,"(+/- 6316 )",294766,"(+/- 7329 )",286219,"(+/- 6580 )",335078,"(+/- 6967 )",333425,"(+/- 8517 )",264720,"(+/- 8837 )"
Workers,"Employment Status",Unemployed,15878,"(+/- 2559 )",17289,"(+/- 2355 )",20910,"(+/- 3114 )",14485,"(+/- 1913 )",16095,"(+/- 2130 )",13729,"(+/- 2326 )",26449,"(+/- 3081 )"
Workers,"Employment Status","Armed Forces",1244,"(+/- 636 )",6144,"(+/- 1051 )",2608,"(+/- 1091 )",386,"(+/- 270 )",1233,"(+/- 585 )",519,"(+/- 346 )",373,"(+/- 273 )"
Workers,"Employment Status","Not in labor force",253918,"(+/- 7655 )",242007,"(+/- 5464 )",253852,"(+/- 5597 )",247378,"(+/- 6790 )",234625,"(+/- 6573 )",224542,"(+/- 6903 )",242644,"(+/- 7495 )"
Workers,"Employment Status","Civilian labor force",318187,"(+/- 7315 )",295043,"(+/- 6157 )",315676,"(+/- 6579 )",300704,"(+/- 6825 )",351173,"(+/- 6770 )",347154,"(+/- 8364 )",291169,"(+/- 8917 )"
Workers,"Employment Status","Unemployment Rate",5.0,"(+/- 0.8 )",5.9,"(+/- 0.8 )",6.6,"(+/- 1.0 )",4.8,"(+/- 0.6 )",4.6,"(+/- 0.6 )",4.0,"(+/- 0.7 )",9.1,"(+/- 1.0 )"
Workers,"Commuting to Work","Workers 16 years and over",297184,"(+/- 7094 )",277673,"(+/- 5980 )",290706,"(+/- 7354 )",281641,"(+/- 6683 )",331935,"(+/- 6891 )",329014,"(+/- 8386 )",259867,"(+/- 8522 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",255803,"(+/- 7104 )",240718,"(+/- 5953 )",250791,"(+/- 7912 )",246598,"(+/- 6635 )",293101,"(+/- 7691 )",283839,"(+/- 7852 )",213840,"(+/- 8037 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",20229,"(+/- 2700 )",22343,"(+/- 2835 )",23071,"(+/- 3075 )",23776,"(+/- 2662 )",19666,"(+/- 2674 )",25091,"(+/- 3642 )",28522,"(+/- 4157 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",577,"(+/- 366 )",701,"(+/- 380 )",1666,"(+/- 775 )",517,"(+/- 598 )",581,"(+/- 410 )",0,"(+/- 201 )",2941,"(+/- 1368 )"
Workers,"Commuting to Work",Walked,2694,"(+/- 915 )",4251,"(+/- 1217 )",4406,"(+/- 1469 )",1546,"(+/- 708 )",3175,"(+/- 1194 )",1758,"(+/- 654 )",4586,"(+/- 1227 )"
Workers,"Commuting to Work","Other means",5069,"(+/- 1991 )",3387,"(+/- 938 )",2371,"(+/- 988 )",1820,"(+/- 662 )",3230,"(+/- 1175 )",1760,"(+/- 791 )",2196,"(+/- 896 )"
Workers,"Commuting to Work","Worked at home",12812,"(+/- 2297 )",6273,"(+/- 1243 )",8401,"(+/- 1773 )",7384,"(+/- 1676 )",12182,"(+/- 1939 )",16566,"(+/- 2308 )",7782,"(+/- 1558 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.0,"(+/- 0.8 )",23.7,"(+/- 0.6 )",25.9,"(+/- 0.8 )",25.9,"(+/- 0.8 )",23.2,"(+/- 0.5 )",27.3,"(+/- 0.7 )",24.6,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",302309,"(+/- 7145 )",277754,"(+/- 6316 )",294766,"(+/- 7329 )",286219,"(+/- 6580 )",335078,"(+/- 6967 )",333425,"(+/- 8517 )",264720,"(+/- 8837 )"
Workers,Occupation,"Management, business, science, and arts occupations",99746,"(+/- 5245 )",92629,"(+/- 4502 )",97024,"(+/- 5855 )",85606,"(+/- 5093 )",140755,"(+/- 5891 )",139338,"(+/- 5853 )",82056,"(+/- 5334 )"
Workers,Occupation,"Service occupations",55804,"(+/- 4584 )",45301,"(+/- 3171 )",47973,"(+/- 4182 )",46151,"(+/- 3624 )",46387,"(+/- 4198 )",44213,"(+/- 4119 )",50067,"(+/- 4497 )"
Workers,Occupation,"Sales and office occupations",65347,"(+/- 4539 )",61657,"(+/- 3659 )",62055,"(+/- 4481 )",55831,"(+/- 4152 )",69643,"(+/- 5115 )",80965,"(+/- 5086 )",53128,"(+/- 3996 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34755,"(+/- 3744 )",26732,"(+/- 2092 )",29880,"(+/- 3033 )",32038,"(+/- 2645 )",28367,"(+/- 2998 )",30544,"(+/- 2996 )",22646,"(+/- 2879 )"
Workers,Occupation,"Production, transportation, and material moving occupations",46657,"(+/- 3831 )",51435,"(+/- 4392 )",57834,"(+/- 4249 )",66593,"(+/- 4339 )",49926,"(+/- 4082 )",38365,"(+/- 3804 )",56823,"(+/- 4428 )"
Workers,Industry,"Civilian employed population 16 years and over",302309,"(+/- 7145 )",277754,"(+/- 6316 )",294766,"(+/- 7329 )",286219,"(+/- 6580 )",335078,"(+/- 6967 )",333425,"(+/- 8517 )",264720,"(+/- 8837 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4153,"(+/- 1335 )",4908,"(+/- 974 )",3688,"(+/- 993 )",5545,"(+/- 1270 )",2580,"(+/- 1016 )",3797,"(+/- 1325 )",3108,"(+/- 1056 )"
Workers,Industry,Construction,25950,"(+/- 2819 )",17144,"(+/- 2349 )",19292,"(+/- 2679 )",23356,"(+/- 2616 )",21162,"(+/- 2322 )",24738,"(+/- 2940 )",16363,"(+/- 2552 )"
Workers,Industry,Manufacturing,33025,"(+/- 3087 )",33140,"(+/- 3868 )",48522,"(+/- 4126 )",57857,"(+/- 3538 )",53436,"(+/- 3680 )",31868,"(+/- 2948 )",37191,"(+/- 3568 )"
Workers,Industry,"Wholesale trade",7865,"(+/- 1542 )",7053,"(+/- 1219 )",9044,"(+/- 2137 )",8799,"(+/- 1675 )",4536,"(+/- 984 )",12084,"(+/- 2422 )",4870,"(+/- 1301 )"
Workers,Industry,"Retail trade",37956,"(+/- 3762 )",31316,"(+/- 2941 )",31681,"(+/- 3175 )",31355,"(+/- 3140 )",38862,"(+/- 3245 )",34896,"(+/- 3442 )",26940,"(+/- 2942 )"
Workers,Industry,"Transportation and warehousing, and utilities",16737,"(+/- 2287 )",18090,"(+/- 2004 )",16439,"(+/- 2648 )",17608,"(+/- 2473 )",14636,"(+/- 2206 )",19283,"(+/- 2343 )",15892,"(+/- 2469 )"
