Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,Race,"One race",815790,"(+/- 7270 )",801496,"(+/- 5117 )",799695,"(+/- 8784 )",772354,"(+/- 5787 )",804156,"(+/- 6891 )"
People,Race,White,682996,"(+/- 7154 )",752017,"(+/- 5842 )",665732,"(+/- 7916 )",708868,"(+/- 5988 )",705370,"(+/- 10025 )"
People,Race,"Black or African American",18791,"(+/- 2123 )",5956,"(+/- 1194 )",42053,"(+/- 3724 )",5543,"(+/- 1176 )",9703,"(+/- 1559 )"
People,Race,"American Indian and Alaska Native",5374,"(+/- 1324 )",15829,"(+/- 1579 )",7899,"(+/- 1838 )",10607,"(+/- 2178 )",9342,"(+/- 2176 )"
People,Race,Asian,69904,"(+/- 3948 )",10435,"(+/- 1209 )",66538,"(+/- 3786 )",21313,"(+/- 1760 )",22490,"(+/- 2477 )"
People,Race,"Native Hawaiian and Other Pacific Islander",4836,"(+/- 1380 )",1882,"(+/- 806 )",5304,"(+/- 972 )",1621,"(+/- 350 )",5115,"(+/- 917 )"
People,Race,"Some other race",33889,"(+/- 6276 )",15377,"(+/- 3876 )",12169,"(+/- 3093 )",24402,"(+/- 3739 )",52136,"(+/- 7408 )"
People,Race,"Two or more races",43120,"(+/- 4888 )",29847,"(+/- 3160 )",41761,"(+/- 4247 )",42644,"(+/- 3650 )",39850,"(+/- 4301 )"
People,"Hispanic or Latino and Race","Total population",858910,"(+/- 4940 )",831343,"(+/- 3835 )",841456,"(+/- 7814 )",814998,"(+/- 4444 )",844006,"(+/- 6712 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",128145,"(+/- 1330 )",118199,"(+/- 1179 )",97391,"(+/- 3165 )",66962,"(+/- 1199 )",145700,"(+/- 2729 )"
People,"Hispanic or Latino and Race",Mexican,100448,"(+/- 5999 )",99934,"(+/- 4001 )",71078,"(+/- 4930 )",51163,"(+/- 2691 )",127628,"(+/- 4376 )"
People,"Hispanic or Latino and Race","Puerto Rican",3302,"(+/- 2045 )",1611,"(+/- 1224 )",2719,"(+/- 1159 )",2361,"(+/- 1193 )",3057,"(+/- 1272 )"
People,"Hispanic or Latino and Race",Cuban,1397,"(+/- 938 )",1261,"(+/- 941 )",3289,"(+/- 1372 )",754,"(+/- 615 )",1031,"(+/- 550 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",22998,"(+/- 5952 )",15393,"(+/- 3381 )",20305,"(+/- 3889 )",12684,"(+/- 2430 )",13984,"(+/- 4106 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",730765,"(+/- 4787 )",713144,"(+/- 3744 )",744065,"(+/- 6936 )",748036,"(+/- 4376 )",698306,"(+/- 6196 )"
People,"Place of Birth","Total population",858910,"(+/- 4940 )",831343,"(+/- 3835 )",841456,"(+/- 7814 )",814998,"(+/- 4444 )",844006,"(+/- 6712 )"
People,"Place of Birth",Native,728573,"(+/- 6658 )",775477,"(+/- 4832 )",724958,"(+/- 8826 )",767940,"(+/- 5466 )",761355,"(+/- 7608 )"
People,"Place of Birth","Born in United States",718055,"(+/- 6898 )",767674,"(+/- 4927 )",713631,"(+/- 9121 )",758613,"(+/- 5484 )",752060,"(+/- 7634 )"
People,"Place of Birth","State of residence",366005,"(+/- 9127 )",365924,"(+/- 8586 )",365240,"(+/- 9399 )",380779,"(+/- 8332 )",425366,"(+/- 9972 )"
People,"Place of Birth","Different state",352050,"(+/- 8785 )",401750,"(+/- 9468 )",348391,"(+/- 9055 )",377834,"(+/- 8373 )",326694,"(+/- 8572 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",10518,"(+/- 1979 )",7803,"(+/- 1885 )",11327,"(+/- 1953 )",9327,"(+/- 1871 )",9295,"(+/- 1711 )"
People,"Place of Birth","Foreign born",130337,"(+/- 5446 )",55866,"(+/- 3716 )",116498,"(+/- 6835 )",47058,"(+/- 4081 )",82651,"(+/- 5455 )"
People,Ancestry,"Total population",858910,"(+/- 4940 )",831343,"(+/- 3835 )",841456,"(+/- 7814 )",814998,"(+/- 4444 )",844006,"(+/- 6712 )"
People,Ancestry,American,43943,"(+/- 5265 )",38206,"(+/- 4177 )",47729,"(+/- 6567 )",36854,"(+/- 4126 )",35180,"(+/- 4078 )"
People,Ancestry,Arab,8435,"(+/- 4262 )",1498,"(+/- 1044 )",5697,"(+/- 2532 )",3056,"(+/- 1322 )",1374,"(+/- 716 )"
People,Ancestry,Czech,3379,"(+/- 1079 )",4739,"(+/- 1798 )",3312,"(+/- 825 )",5122,"(+/- 1205 )",3134,"(+/- 1121 )"
People,Ancestry,Danish,6758,"(+/- 1370 )",5831,"(+/- 1458 )",7711,"(+/- 1548 )",9592,"(+/- 2061 )",8527,"(+/- 2055 )"
People,Ancestry,Dutch,15304,"(+/- 2613 )",11903,"(+/- 2464 )",16127,"(+/- 2395 )",15567,"(+/- 2272 )",13787,"(+/- 2070 )"
People,Ancestry,English,84891,"(+/- 4979 )",97731,"(+/- 6567 )",81529,"(+/- 5403 )",92259,"(+/- 5760 )",79937,"(+/- 5643 )"
People,Ancestry,"French (except Basque)",24842,"(+/- 3399 )",20345,"(+/- 2847 )",23743,"(+/- 2946 )",26915,"(+/- 3848 )",21725,"(+/- 2516 )"
People,Ancestry,"French Canadian",5198,"(+/- 1169 )",5348,"(+/- 1416 )",4644,"(+/- 1025 )",4864,"(+/- 1191 )",4761,"(+/- 1487 )"
People,Ancestry,German,135472,"(+/- 7754 )",134795,"(+/- 7080 )",127222,"(+/- 6786 )",152363,"(+/- 8011 )",144564,"(+/- 7786 )"
People,Ancestry,Greek,2172,"(+/- 905 )",2867,"(+/- 1159 )",2611,"(+/- 901 )",4645,"(+/- 2311 )",1719,"(+/- 1021 )"
People,Ancestry,Hungarian,3041,"(+/- 1003 )",2417,"(+/- 844 )",2939,"(+/- 1271 )",2664,"(+/- 781 )",5011,"(+/- 2326 )"
People,Ancestry,Irish,88201,"(+/- 7164 )",93862,"(+/- 7028 )",87480,"(+/- 5484 )",99353,"(+/- 5869 )",88951,"(+/- 7585 )"
People,Ancestry,Italian,28378,"(+/- 3520 )",30067,"(+/- 3526 )",33562,"(+/- 3235 )",31210,"(+/- 4123 )",28463,"(+/- 3994 )"
People,Ancestry,Lithuanian,983,"(+/- 469 )",564,"(+/- 304 )",1485,"(+/- 972 )",973,"(+/- 522 )",920,"(+/- 610 )"
People,Ancestry,Norwegian,26945,"(+/- 3434 )",24098,"(+/- 3390 )",25736,"(+/- 3332 )",26398,"(+/- 3532 )",32865,"(+/- 3603 )"
People,Ancestry,Polish,12559,"(+/- 2410 )",13133,"(+/- 3036 )",14878,"(+/- 2493 )",10878,"(+/- 1756 )",10740,"(+/- 1934 )"
People,Ancestry,Portuguese,4129,"(+/- 1185 )",3993,"(+/- 1657 )",2376,"(+/- 879 )",6314,"(+/- 1985 )",4100,"(+/- 1911 )"
People,Ancestry,Russian,8412,"(+/- 1728 )",6736,"(+/- 1903 )",12672,"(+/- 3746 )",5702,"(+/- 1370 )",12398,"(+/- 3135 )"
People,Ancestry,Scotch-Irish,8934,"(+/- 1925 )",12024,"(+/- 2400 )",8876,"(+/- 1901 )",13658,"(+/- 2506 )",8667,"(+/- 1797 )"
People,Ancestry,Scottish,21573,"(+/- 2672 )",21454,"(+/- 2555 )",19742,"(+/- 2382 )",25394,"(+/- 3566 )",23196,"(+/- 3481 )"
People,Ancestry,Slovak,975,"(+/- 515 )",214,"(+/- 227 )",940,"(+/- 578 )",720,"(+/- 744 )",567,"(+/- 369 )"
People,Ancestry,"Subsaharan African",8791,"(+/- 2040 )",805,"(+/- 397 )",12358,"(+/- 4182 )",4089,"(+/- 2049 )",2702,"(+/- 1248 )"
People,Ancestry,Swedish,22160,"(+/- 2977 )",17783,"(+/- 2838 )",19015,"(+/- 2814 )",16685,"(+/- 2501 )",20321,"(+/- 3114 )"
People,Ancestry,Swiss,5234,"(+/- 1248 )",3899,"(+/- 948 )",6297,"(+/- 1297 )",5187,"(+/- 1837 )",5754,"(+/- 1546 )"
People,Ancestry,Ukrainian,1615,"(+/- 798 )",954,"(+/- 619 )",10071,"(+/- 2869 )",2142,"(+/- 1256 )",3518,"(+/- 1753 )"
People,Ancestry,Welsh,6415,"(+/- 1437 )",8847,"(+/- 1923 )",9571,"(+/- 1957 )",8018,"(+/- 1882 )",7544,"(+/- 1688 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",632,"(+/- 467 )",856,"(+/- 597 )",2121,"(+/- 1605 )",188,"(+/- 200 )",674,"(+/- 531 )"
People,"Veteran Status","Civilian population 18 years and over",668575,"(+/- 3782 )",652309,"(+/- 3182 )",679710,"(+/- 5736 )",662679,"(+/- 3653 )",652212,"(+/- 5252 )"
People,"Veteran Status","Civilian veterans",48604,"(+/- 2738 )",66800,"(+/- 3251 )",38153,"(+/- 3205 )",71292,"(+/- 3352 )",54283,"(+/- 3074 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",852301,"(+/- 5146 )",817023,"(+/- 3902 )",836492,"(+/- 7855 )",810647,"(+/- 4647 )",834613,"(+/- 6641 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",95031,"(+/- 3982 )",132011,"(+/- 5501 )",96172,"(+/- 5601 )",139190,"(+/- 5566 )",119057,"(+/- 6549 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",189552,"(+/- 2346 )",177760,"(+/- 2053 )",161106,"(+/- 3604 )",151147,"(+/- 2264 )",191087,"(+/- 3395 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7294,"(+/- 1534 )",9150,"(+/- 1373 )",6899,"(+/- 1526 )",8666,"(+/- 1851 )",9683,"(+/- 1990 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",536528,"(+/- 3748 )",468824,"(+/- 3210 )",563343,"(+/- 5646 )",487680,"(+/- 3609 )",495618,"(+/- 5360 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",47090,"(+/- 3651 )",64650,"(+/- 4363 )",53364,"(+/- 3935 )",70374,"(+/- 4439 )",59636,"(+/- 4215 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",126221,"(+/- 1832 )",170439,"(+/- 2301 )",112043,"(+/- 2523 )",171820,"(+/- 2325 )",147908,"(+/- 2150 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",40647,"(+/- 2487 )",58211,"(+/- 3012 )",35909,"(+/- 2840 )",60150,"(+/- 3593 )",49738,"(+/- 2696 )"
People,"Residence 1 Year Ago","Population 1 year and over",850590,"(+/- 5193 )",822704,"(+/- 4097 )",834973,"(+/- 7908 )",807879,"(+/- 4807 )",836610,"(+/- 6496 )"
People,"Residence 1 Year Ago","Same house",709112,"(+/- 9707 )",682713,"(+/- 10391 )",694998,"(+/- 10023 )",646001,"(+/- 10640 )",705829,"(+/- 11936 )"
People,"Residence 1 Year Ago","Different house in the U.S.",137004,"(+/- 8143 )",137518,"(+/- 10155 )",134627,"(+/- 8979 )",158660,"(+/- 10097 )",126915,"(+/- 10710 )"
People,"Residence 1 Year Ago","Same county",71720,"(+/- 7374 )",81073,"(+/- 8267 )",82633,"(+/- 6753 )",94565,"(+/- 7991 )",68518,"(+/- 8032 )"
People,"Residence 1 Year Ago","Different county",65284,"(+/- 6044 )",56445,"(+/- 6364 )",51994,"(+/- 5931 )",64095,"(+/- 5957 )",58397,"(+/- 5825 )"
People,"Residence 1 Year Ago","Same state",30719,"(+/- 3890 )",27501,"(+/- 4117 )",23156,"(+/- 4668 )",36458,"(+/- 4798 )",37754,"(+/- 4949 )"
People,"Residence 1 Year Ago","Different state",34565,"(+/- 4835 )",28944,"(+/- 4398 )",28838,"(+/- 3859 )",27637,"(+/- 3067 )",20643,"(+/- 3210 )"
People,"Residence 1 Year Ago",Abroad,4474,"(+/- 1281 )",2473,"(+/- 801 )",5348,"(+/- 1815 )",3218,"(+/- 1235 )",3866,"(+/- 1302 )"
Workers,"Employment Status","Population 16 years and over",691981,"(+/- 4262 )",673198,"(+/- 3235 )",696997,"(+/- 6314 )",681843,"(+/- 3724 )",673684,"(+/- 5550 )"
Workers,"Employment Status","In labor force",463494,"(+/- 7051 )",388523,"(+/- 6276 )",485799,"(+/- 7449 )",385132,"(+/- 6031 )",415668,"(+/- 7446 )"
Workers,"Employment Status","Civilian labor force",462924,"(+/- 7062 )",387761,"(+/- 6238 )",485489,"(+/- 7476 )",384302,"(+/- 5958 )",415500,"(+/- 7417 )"
Workers,"Employment Status",Employed,444282,"(+/- 7156 )",363779,"(+/- 6528 )",465336,"(+/- 7730 )",360508,"(+/- 6233 )",395116,"(+/- 7530 )"
Workers,"Employment Status",Unemployed,18642,"(+/- 2594 )",23982,"(+/- 2869 )",20153,"(+/- 2280 )",23794,"(+/- 2443 )",20384,"(+/- 2448 )"
Workers,"Employment Status","Armed Forces",570,"(+/- 386 )",762,"(+/- 432 )",310,"(+/- 298 )",830,"(+/- 495 )",168,"(+/- 160 )"
Workers,"Employment Status","Not in labor force",228487,"(+/- 5824 )",284675,"(+/- 6193 )",211198,"(+/- 6894 )",296711,"(+/- 6115 )",258016,"(+/- 6404 )"
Workers,"Employment Status","Civilian labor force",462924,"(+/- 7062 )",387761,"(+/- 6238 )",485489,"(+/- 7476 )",384302,"(+/- 5958 )",415500,"(+/- 7417 )"
Workers,"Employment Status","Unemployment Rate",4.0,"(+/- 0.6 )",6.2,"(+/- 0.7 )",4.2,"(+/- 0.5 )",6.2,"(+/- 0.6 )",4.9,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",435948,"(+/- 7090 )",357503,"(+/- 6680 )",457446,"(+/- 7366 )",354560,"(+/- 6247 )",389141,"(+/- 7723 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",316590,"(+/- 7330 )",272684,"(+/- 8313 )",289034,"(+/- 7595 )",257960,"(+/- 5897 )",294832,"(+/- 7588 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",39850,"(+/- 3937 )",34111,"(+/- 3843 )",38593,"(+/- 4283 )",36582,"(+/- 3629 )",39971,"(+/- 3818 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",22150,"(+/- 3005 )",2342,"(+/- 816 )",45223,"(+/- 3601 )",6536,"(+/- 1687 )",8065,"(+/- 1702 )"
Workers,"Commuting to Work",Walked,18365,"(+/- 2399 )",14083,"(+/- 2196 )",19498,"(+/- 2749 )",15842,"(+/- 1996 )",10216,"(+/- 1763 )"
Workers,"Commuting to Work","Other means",8110,"(+/- 1493 )",7148,"(+/- 1502 )",24680,"(+/- 3031 )",13500,"(+/- 1940 )",9753,"(+/- 2137 )"
Workers,"Commuting to Work","Worked at home",30883,"(+/- 3067 )",27135,"(+/- 2920 )",40418,"(+/- 3469 )",24140,"(+/- 2957 )",26304,"(+/- 3288 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.3,"(+/- 0.6 )",19.0,"(+/- 0.7 )",27.0,"(+/- 0.7 )",20.3,"(+/- 0.6 )",24.9,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",444282,"(+/- 7156 )",363779,"(+/- 6528 )",465336,"(+/- 7730 )",360508,"(+/- 6233 )",395116,"(+/- 7530 )"
Workers,Occupation,"Management, business, science, and arts occupations",198722,"(+/- 6287 )",126365,"(+/- 6091 )",209601,"(+/- 6512 )",128244,"(+/- 5623 )",145175,"(+/- 6184 )"
Workers,Occupation,"Service occupations",65608,"(+/- 4578 )",77089,"(+/- 5330 )",75926,"(+/- 4860 )",73297,"(+/- 4468 )",73824,"(+/- 4924 )"
Workers,Occupation,"Sales and office occupations",94025,"(+/- 5036 )",70801,"(+/- 5150 )",87504,"(+/- 4558 )",78498,"(+/- 4263 )",82023,"(+/- 4465 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",32646,"(+/- 3428 )",41847,"(+/- 3522 )",35674,"(+/- 4173 )",33975,"(+/- 2788 )",44574,"(+/- 3700 )"
Workers,Occupation,"Production, transportation, and material moving occupations",53281,"(+/- 4170 )",47677,"(+/- 3441 )",56631,"(+/- 3842 )",46494,"(+/- 3567 )",49520,"(+/- 3694 )"
Workers,Industry,"Civilian employed population 16 years and over",444282,"(+/- 7156 )",363779,"(+/- 6528 )",465336,"(+/- 7730 )",360508,"(+/- 6233 )",395116,"(+/- 7530 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",8987,"(+/- 2296 )",20529,"(+/- 2887 )",4347,"(+/- 1750 )",13523,"(+/- 2306 )",16198,"(+/- 2656 )"
Workers,Industry,Construction,28111,"(+/- 3211 )",26312,"(+/- 2998 )",29216,"(+/- 3451 )",21272,"(+/- 2720 )",30669,"(+/- 3215 )"
Workers,Industry,Manufacturing,70624,"(+/- 4510 )",31233,"(+/- 3618 )",46721,"(+/- 3589 )",37867,"(+/- 3449 )",42640,"(+/- 3902 )"
Workers,Industry,"Wholesale trade",14293,"(+/- 1967 )",5981,"(+/- 1439 )",13955,"(+/- 1929 )",9203,"(+/- 1796 )",9337,"(+/- 1511 )"
Workers,Industry,"Retail trade",47626,"(+/- 3830 )",45898,"(+/- 4151 )",49921,"(+/- 4100 )",43793,"(+/- 3595 )",42207,"(+/- 3329 )"
Workers,Industry,"Transportation and warehousing, and utilities",19311,"(+/- 2120 )",17437,"(+/- 2541 )",25175,"(+/- 2746 )",13545,"(+/- 1860 )",16951,"(+/- 2152 )"
Workers,Industry,Information,8302,"(+/- 1505 )",5096,"(+/- 1437 )",8415,"(+/- 1719 )",5130,"(+/- 1210 )",5088,"(+/- 1142 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",28562,"(+/- 3089 )",14356,"(+/- 2024 )",27199,"(+/- 2782 )",14863,"(+/- 2179 )",22112,"(+/- 2550 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",60219,"(+/- 4474 )",32359,"(+/- 3141 )",66354,"(+/- 4495 )",34091,"(+/- 2938 )",42164,"(+/- 3982 )"
Workers,Industry,"Educational services, and health care and social assistance",89235,"(+/- 4539 )",85914,"(+/- 4950 )",103313,"(+/- 5482 )",95174,"(+/- 5064 )",86757,"(+/- 4762 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",36470,"(+/- 3617 )",42398,"(+/- 3165 )",50166,"(+/- 4658 )",36804,"(+/- 3185 )",36586,"(+/- 3949 )"
Workers,Industry,"Other services, except public administration",17922,"(+/- 2360 )",16390,"(+/- 2575 )",24647,"(+/- 2554 )",18397,"(+/- 2360 )",20555,"(+/- 2561 )"
Workers,Industry,"Public administration",14620,"(+/- 2196 )",19876,"(+/- 2261 )",15907,"(+/- 1784 )",16846,"(+/- 2066 )",23852,"(+/- 2621 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",444282,"(+/- 7156 )",363779,"(+/- 6528 )",465336,"(+/- 7730 )",360508,"(+/- 6233 )",395116,"(+/- 7530 )"
Workers,"Class of Worker","Private wage and salary workers",374487,"(+/- 8062 )",274926,"(+/- 5925 )",378996,"(+/- 8120 )",272876,"(+/- 5232 )",310641,"(+/- 7300 )"
Workers,"Class of Worker","Government workers",44265,"(+/- 3828 )",54379,"(+/- 4307 )",48278,"(+/- 3530 )",58617,"(+/- 3914 )",60551,"(+/- 3872 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",25118,"(+/- 2524 )",33051,"(+/- 3555 )",36820,"(+/- 3107 )",28157,"(+/- 2661 )",23063,"(+/- 2749 )"
Workers,"Class of Worker","Unpaid family workers",412,"(+/- 289 )",1423,"(+/- 760 )",1242,"(+/- 540 )",858,"(+/- 487 )",861,"(+/- 521 )"
Housing,"Housing Occupancy","Total housing units",350718,"(+/- 2172 )",379232,"(+/- 1969 )",357075,"(+/- 3052 )",355549,"(+/- 2145 )",346169,"(+/- 2325 )"
Housing,"Housing Occupancy","Occupied housing units",330630,"(+/- 4021 )",332236,"(+/- 4252 )",331954,"(+/- 4313 )",331882,"(+/- 3114 )",313268,"(+/- 3584 )"
Housing,"Housing Occupancy","Vacant housing units",20088,"(+/- 3096 )",46996,"(+/- 3726 )",25121,"(+/- 3396 )",23667,"(+/- 2506 )",32901,"(+/- 2566 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.2,"(+/- 0.6 )",1.6,"(+/- 0.5 )",1.4,"(+/- 0.6 )",0.9,"(+/- 0.5 )",1.2,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",3.3,"(+/- 0.9 )",3.5,"(+/- 1.1 )",6.1,"(+/- 1.5 )",3.2,"(+/- 1.1 )",5.3,"(+/- 1.1 )"
Housing,"Housing Tenure","Occupied housing units",330630,"(+/- 4021 )",332236,"(+/- 4252 )",331954,"(+/- 4313 )",331882,"(+/- 3114 )",313268,"(+/- 3584 )"
Housing,"Housing Tenure",Owner-occupied,207670,"(+/- 4684 )",217943,"(+/- 4796 )",190899,"(+/- 4099 )",208590,"(+/- 5160 )",199751,"(+/- 4657 )"
Housing,"Housing Tenure",Renter-occupied,122960,"(+/- 4324 )",114293,"(+/- 5460 )",141055,"(+/- 4316 )",123292,"(+/- 4509 )",113517,"(+/- 4470 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.68,"(+/- 0.04 )",2.48,"(+/- 0.04 )",2.64,"(+/- 0.04 )",2.42,"(+/- 0.04 )",2.72,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.34,"(+/- 0.06 )",2.35,"(+/- 0.08 )",2.26,"(+/- 0.06 )",2.37,"(+/- 0.07 )",2.50,"(+/- 0.06 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",330630,"(+/- 4021 )",332236,"(+/- 4252 )",331954,"(+/- 4313 )",331882,"(+/- 3114 )",313268,"(+/- 3584 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",74704,"(+/- 3405 )",75045,"(+/- 4969 )",68273,"(+/- 4002 )",75094,"(+/- 3335 )",64512,"(+/- 4439 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",61066,"(+/- 3806 )",58146,"(+/- 3820 )",61621,"(+/- 3672 )",56569,"(+/- 3704 )",53722,"(+/- 3746 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",63075,"(+/- 4098 )",61324,"(+/- 4036 )",67303,"(+/- 3641 )",54749,"(+/- 3498 )",62802,"(+/- 3808 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",71409,"(+/- 4665 )",70748,"(+/- 3618 )",69940,"(+/- 3427 )",73269,"(+/- 4166 )",68618,"(+/- 3967 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",35969,"(+/- 2529 )",37107,"(+/- 3373 )",33875,"(+/- 2541 )",35535,"(+/- 2534 )",36345,"(+/- 2749 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",24407,"(+/- 1996 )",29866,"(+/- 2733 )",30942,"(+/- 2368 )",36666,"(+/- 2720 )",27269,"(+/- 1832 )"
Housing,Value,"Owner-occupied units",207670,"(+/- 4684 )",217943,"(+/- 4796 )",190899,"(+/- 4099 )",208590,"(+/- 5160 )",199751,"(+/- 4657 )"
Housing,Value,"Less than $50,000",5006,"(+/- 1079 )",14682,"(+/- 1951 )",6225,"(+/- 1278 )",13763,"(+/- 2026 )",11603,"(+/- 1820 )"
Housing,Value,"$50,000 to $99,999",3139,"(+/- 1164 )",13678,"(+/- 1851 )",1939,"(+/- 735 )",6889,"(+/- 1184 )",4717,"(+/- 977 )"
Housing,Value,"$100,000 to $149,999",3899,"(+/- 1100 )",16986,"(+/- 1940 )",2017,"(+/- 561 )",15097,"(+/- 1927 )",7025,"(+/- 1432 )"
Housing,Value,"$150,000 to $199,999",7665,"(+/- 1324 )",21676,"(+/- 1971 )",5876,"(+/- 1218 )",23868,"(+/- 2416 )",13191,"(+/- 1652 )"
